도시,월,평균기온,최저기온,최고기온
서울,Jan,-4,-7.3,0.1
서울,Feb,-1.6,-5.9,3.3
서울,Mar,8.1,3.8,13.6
서울,Apr,13,8.1,18.5
서울,May,18.2,13.4,23.3
서울,Jun,23.1,18.9,28.4
서울,Jul,27.8,24.2,32.1
서울,Aug,28.8,25.2,33.3
서울,Sep,21.5,17.6,26
서울,Oct,13.1,8.5,18.6
서울,Nov,7.8,3.6,13.2
서울,Dec,-0.6,-4.7,4.1
인천,Jan,-3.8,-6.6,-0.6
인천,Feb,-1.8,-5.2,2
인천,Mar,6.9,3.5,11.1
인천,Apr,11.9,8.2,16.3
인천,May,17,13.3,21.1
인천,Jun,21.2,18,25.4
인천,Jul,26.6,23.7,30.2
인천,Aug,28.1,25.2,31.5
인천,Sep,21.6,18.5,25
인천,Oct,13.8,10.4,17.7
인천,Nov,8.5,5.3,12.1
인천,Dec,-0.2,-3.5,3.4
철원,Jan,-7.3,-13.3,-1.2
철원,Feb,-4.4,-11.5,2.1
철원,Mar,6.2,-0.4,12.8
철원,Apr,11.2,4.4,17.9
철원,May,16.8,10.9,22.8
철원,Jun,21.7,16,27.8
철원,Jul,25.4,21.3,30.4
철원,Aug,26.3,21.8,31.8
철원,Sep,18.8,13,25.2
철원,Oct,9.9,3.7,17.2
철원,Nov,4.5,-1,11.4
철원,Dec,-4,-10.1,2.6
대구,Jan,-0.9,-5.2,4
대구,Feb,1.3,-4.2,7.1
대구,Mar,9.2,3.3,15.6
대구,Apr,15,8.9,21.4
대구,May,19.2,14.2,24.8
대구,Jun,23.6,18.7,28.7
대구,Jul,28.2,24,33.1
대구,Aug,27.7,23.7,32.9
대구,Sep,21,17.2,25.4
대구,Oct,14.3,9.3,20
대구,Nov,8.8,3.3,15.2
대구,Dec,2,-2.3,7
